ID del Cliente,Zona,Canal,Producto,Monto de Venta,Edad del Cliente,¿Capacitado?,Inversión en Publicidad,Mes,Asesor,% Cumplimiento Objetivo,% Clientes Nuevos,Participación en Campañas,Antigüedad del Asesor (meses)
C00071,,Sucursal,Inversión Segura,20422.64,29,Sí,3219.66,Enero,A9,92.04,0.22,Baja,25
C00072,Oeste,Call Center,Inversión Segura,17449.7,54,No,1521.42,Febrero,A15,100.58,0.78,Baja,41
C00073,Centro,Call Center,Ahorro Plus,21071.35,47,No,1022.93,Marzo,A34,56.55,0.52,Alta,12
C00074,Oeste,Unknown,Plan Retiro,10660.0,40,No,4084.13,Enero,A38,118.21,0.85,Ninguna,29
C00075,,Sucursal,Inversión Segura,22234.67,33,No,3229.55,Marzo,A35,90.92,0.74,Ninguna,25
C00076,,Sucursal,Inversión Segura,15704.69,31,No,2952.3,Mayo,A50,65.66,0.65,Alta,51
C00077,,Sucursal,Inversión Segura,21046.33,27,No,3232.66,Enero,A38,76.29,0.1,Alta,36
C00078,,Sucursal,Inversión Segura,7802.18,24,No,6226.13,Abril,A24,58.06,0.44,Alta,53
C00079,Norte,Sucursal,Inversión Segura,15902.92,62,Sí,3869.1,Mayo,A24,73.65,0.26,Media,54
C00080,,Unknown,Plan Retiro,15726.19,69,No,1954.56,Mayo,A37,87.87,0.83,Media,25
C00081,,Digital,Plan Retiro,11903.82,54,Sí,1319.62,Marzo,A47,112.72,0.24,Media,29
C00082,,Call Center,Inversión Segura,16565.59,46,No,4054.54,Mayo,A31,96.16,0.33,Alta,11
C00083,,Sucursal,Ahorro Plus,22698.03,20,Sí,3856.1,Febrero,A48,93.49,0.51,Ninguna,4
C00084,Norte,Unknown,Plan Retiro,N/A,32,No,3575.06,Enero,A18,72.97,0.31,Media,14
C00085,,Digital,Ahorro Plus,19809.27,53,Sí,2187.12,Febrero,A21,77.63,0.27,Alta,46
C00086,,Digital,Plan Retiro,9362.88,64,No,3363.29,Marzo,A13,78.8,0.58,Media,38
C00087,Sur,Call Center,Inversión Segura,25547.22,63,No,2276.65,Marzo,A24,79.41,0.17,Media,17
C00088,Norte,Unknown,Plan Retiro,18923.0,69,Sí,3662.78,Enero,A42,84.73,0.15,Media,2
C00089,,Agente,Inversión Segura,23625.59,36,No,3982.66,Mayo,A22,85.86,0.4,Alta,8
C00090,Sur,Agente,Plan Retiro,18360.3,30,Sí,2456.53,Abril,A38,84.91,0.68,Alta,36
C00091,Sur,Digital,Inversión Segura,16953.07,59,No,4131.81,Marzo,A2,79.93,0.54,Ninguna,10
C00092,Norte,Unknown,Inversión Segura,18964.66,38,No,3114.85,Enero,A13,92.03,0.44,Ninguna,7
C00093,Oeste,Unknown,Inversión Segura,N/A,54,Sí,3491.87,Abril,A2,85.28,0.55,Media,36
C00094,,Call Center,Inversión Segura,6910.83,44,Desconocido,1690.37,Mayo,A46,66.07,0.39,Media,16
C00095,,Agente,Ahorro Plus,17237.0,69,Sí,3232.21,Marzo,A19,90.52,0.85,Baja,14
C00096,,Digital,Inversión Segura,11222.48,46,Sí,2324.42,Enero,A42,88.25,0.14,Baja,16
C00097,,Unknown,Ahorro Plus,9491.69,37,Desconocido,3474.63,Enero,A32,66.31,0.64,Media,25
C00098,,Agente,Ahorro Plus,18181.47,42,Sí,4467.16,Enero,A12,81.13,0.81,Ninguna,41
C00099,,Digital,Inversión Segura,13604.46,23,Desconocido,3289.52,Marzo,A14,98.96,0.74,Media,4
C00100,,Digital,Ahorro Plus,20138.52,53,Desconocido,2099.15,Abril,A33,72.95,0.25,Media,29
C00101,Centro,Sucursal,Plan Retiro,11055.3,-1,Sí,3626.47,Enero,A4,71.37,0.34,Baja,56
C00102,Norte,Unknown,Inversión Segura,12645.86,39,No,3401.79,Mayo,A25,85.13,0.67,Ninguna,6
C00103,,Sucursal,Ahorro Plus,20751.48,49,Sí,5058.6,Enero,A13,99.34,0.17,Baja,1
C00104,,Call Center,Inversión Segura,16399.21,33,Sí,3253.97,Abril,A22,117.15,0.75,Alta,39
C00105,,Sucursal,Inversión Segura,7613.36,35,Sí,2414.53,Marzo,A35,99.88,0.68,Media,1
C00106,Oeste,Unknown,Inversión Segura,16288.8,22,Sí,3770.64,Enero,A33,106.27,0.68,Media,51
C00107,Sur,Sucursal,Ahorro Plus,22406.19,53,Sí,2872.32,Enero,A49,95.2,0.18,Media,40
C00108,,Unknown,Plan Retiro,12607.11,47,Sí,3080.25,Mayo,A46,79.72,0.67,Baja,57
C00109,,Agente,Plan Retiro,17990.29,62,Desconocido,2071.52,Mayo,A12,99.78,0.64,Ninguna,3
C00110,Sur,Unknown,Ahorro Plus,10753.07,36,No,2877.57,Enero,A8,88.72,0.76,Baja,1
C00111,Norte,Digital,Inversión Segura,14316.08,40,No,3030.8,Enero,A1,95.66,0.13,Ninguna,1
C00112,Sur,Unknown,Ahorro Plus,20449.18,51,No,2871.65,Mayo,A13,75.81,0.12,Alta,39
C00113,Oeste,Unknown,Ahorro Plus,16096.16,30,No,2409.11,Abril,A44,97.0,0.4,Ninguna,21
C00114,Sur,Sucursal,Ahorro Plus,21446.35,60,Sí,3288.23,Febrero,A46,88.19,0.22,Baja,45
C00115,Norte,Unknown,Inversión Segura,17126.51,46,No,2076.53,Febrero,A2,93.47,0.55,Media,30
C00116,Oeste,Unknown,Ahorro Plus,26093.7,53,Desconocido,1841.01,Enero,A35,88.72,0.83,Baja,32
C00117,,Unknown,Inversión Segura,7175.43,39,Sí,3709.54,Mayo,A39,85.84,0.41,Alta,33
C00118,,Unknown,Ahorro Plus,13914.03,69,No,3617.75,Marzo,A49,97.27,0.78,Baja,48
C00119,,Sucursal,Plan Retiro,9577.33,69,No,1692.4,Marzo,A44,83.91,0.1,Media,22
C00120,,Call Center,Ahorro Plus,9918.75,64,Desconocido,1170.44,Febrero,A8,66.17,0.23,Alta,30
C00121,,Sucursal,Ahorro Plus,9964.08,53,No,1991.26,Abril,A29,61.89,0.12,Baja,54
C00122,,Agente,Plan Retiro,15838.63,26,Sí,2871.7,Febrero,A25,92.77,0.36,Baja,46
C00123,Sur,Unknown,Inversión Segura,16131.5,56,Sí,4154.35,Enero,A4,83.29,0.83,Alta,4
C00124,,Digital,Inversión Segura,17137.28,68,Sí,2847.26,Abril,A32,64.06,0.18,Alta,23
C00125,Norte,Call Center,Ahorro Plus,9384.7,36,No,2230.64,Marzo,A1,91.6,0.59,Media,55
C00126,Este,Sucursal,Plan Retiro,13378.88,55,Sí,3148.59,Mayo,A46,88.59,0.46,Media,44
C00127,Este,Unknown,Inversión Segura,10178.53,-1,No,2885.98,Mayo,A30,82.51,0.85,Ninguna,25
C00128,Oeste,Call Center,Ahorro Plus,19679.41,69,Sí,1618.99,Enero,A31,93.7,0.2,Ninguna,12
C00129,,Unknown,Plan Retiro,10648.66,64,Sí,1624.94,Febrero,A8,109.73,0.27,Media,17
C00130,,Call Center,Inversión Segura,13931.44,32,No,1651.8,Enero,A4,109.27,0.12,Baja,53
C00131,Este,Unknown,Inversión Segura,17801.53,37,No,,Mayo,A7,92.16,0.45,Media,15
C00132,,Sucursal,Plan Retiro,11921.86,26,Sí,3859.98,Marzo,A18,88.73,0.32,Baja,10
C00133,Sur,Unknown,Plan Retiro,18469.39,49,Sí,2406.28,Mayo,A14,92.37,0.8,Alta,35
C00134,,Call Center,Plan Retiro,22980.4,21,No,4108.27,Abril,A40,94.64,0.58,Media,55
C00135,Centro,Unknown,Plan Retiro,15948.56,67,Sí,2431.94,Mayo,A16,85.98,0.59,Baja,52
C00136,,Unknown,Ahorro Plus,19508.05,35,Sí,4075.18,Mayo,A49,92.62,0.53,Alta,52
C00137,,Call Center,Plan Retiro,4632.9,22,No,3080.31,Abril,A41,66.4,0.17,Baja,29
C00138,Oeste,Unknown,Inversión Segura,12854.74,37,No,2341.15,Febrero,A18,91.22,0.46,Ninguna,12
C00139,,Unknown,Inversión Segura,15924.5,40,Sí,3679.82,Mayo,A16,97.15,0.9,Media,1
C00140,Este,Unknown,Ahorro Plus,9735.17,28,No,3137.52,Enero,A46,82.65,0.77,Media,1
C00141,,Unknown,Inversión Segura,16038.25,54,Desconocido,3398.27,Mayo,A27,88.57,0.81,Ninguna,10
C00142,,Unknown,Inversión Segura,N/A,39,No,3215.51,Enero,A19,73.33,0.76,Baja,18
C00143,,Sucursal,Plan Retiro,5602.2,21,No,3205.01,Abril,A17,71.25,0.18,Alta,47
C00144,,Digital,Inversión Segura,9054.64,46,No,3800.55,Mayo,A19,93.16,0.28,Media,2
C00145,Norte,Call Center,Ahorro Plus,15924.07,61,Desconocido,5583.81,Abril,A20,79.06,0.1,Baja,49
C00146,Norte,Digital,Plan Retiro,17302.1,51,No,4248.79,Abril,A41,63.35,0.34,Media,8
C00147,,Unknown,Plan Retiro,18690.4,30,Sí,3219.65,Febrero,A7,73.32,0.19,Alta,22
C00148,,Unknown,Ahorro Plus,15554.45,59,No,2689.39,Mayo,A6,75.5,0.48,Media,22
C00149,Este,Call Center,Plan Retiro,17307.56,26,No,2799.27,Enero,A23,101.62,0.64,Ninguna,26
C00150,,Unknown,Plan Retiro,19517.4,59,Sí,1743.87,Enero,A10,92.69,0.8,Baja,26
C00151,Sur,Unknown,Ahorro Plus,12927.71,-1,Sí,,Mayo,A47,76.93,0.7,Ninguna,9
C00152,,Agente,Plan Retiro,11957.07,24,No,1985.08,Febrero,A34,81.18,0.85,Baja,21
C00153,,Unknown,Ahorro Plus,14157.47,21,No,2627.55,Febrero,A34,109.68,0.14,Ninguna,31
C00154,,Digital,Ahorro Plus,15997.44,36,Sí,3670.35,Febrero,A41,104.04,0.11,Alta,52
C00155,,Call Center,Inversión Segura,11708.63,59,No,2762.67,Enero,A27,73.23,0.63,Baja,43
C00156,Oeste,Digital,Inversión Segura,13031.21,47,Sí,2507.71,Abril,A47,107.45,0.33,Alta,6
C00157,Norte,Call Center,Plan Retiro,16988.51,48,Sí,1802.52,Febrero,A8,88.79,0.3,Baja,56
C00158,Sur,Unknown,Plan Retiro,15788.75,52,No,4205.33,Enero,A20,101.99,0.36,Media,14
C00159,,Sucursal,Ahorro Plus,14073.31,38,Sí,2166.78,Enero,A50,87.55,0.32,Media,33
C00160,,Unknown,Plan Retiro,6294.65,48,Sí,2414.12,Abril,A12,107.79,0.51,Ninguna,7
C00161,,Unknown,Ahorro Plus,14982.46,36,Desconocido,1208.27,Mayo,A27,72.61,0.45,Ninguna,24
C00162,,Digital,Ahorro Plus,10149.98,48,Sí,2980.14,Mayo,A39,86.17,0.51,Alta,9
C00163,,Agente,Plan Retiro,19915.41,49,Sí,2666.71,Febrero,A21,108.25,0.64,Baja,11
C00164,Este,Agente,Ahorro Plus,13456.39,19,Desconocido,3181.86,Febrero,A42,54.11,0.41,Media,56
C00165,Norte,Unknown,Inversión Segura,10018.84,69,No,1825.37,Abril,A4,89.31,0.3,Media,23
C00166,Norte,Call Center,Plan Retiro,14692.28,27,No,3734.18,Febrero,A16,84.1,0.23,Ninguna,48
C00167,,Digital,Inversión Segura,21353.5,-1,No,1160.79,Abril,A27,100.27,0.38,Media,51
C00168,Este,Unknown,Plan Retiro,18154.08,19,Sí,2907.82,Enero,A44,106.05,0.69,Ninguna,2
C00169,,Digital,Ahorro Plus,16099.59,41,No,3115.49,Febrero,A32,100.95,0.71,Alta,15
C00170,Centro,Call Center,Plan Retiro,8369.52,34,No,3057.77,Enero,A2,93.62,0.63,Baja,35
C00171,Sur,Unknown,Inversión Segura,23108.0,49,No,3157.75,Marzo,A22,90.61,0.29,Baja,36
C00172,Norte,Unknown,Ahorro Plus,11891.86,33,No,3788.67,Abril,A34,84.86,0.57,Alta,52
C00173,Oeste,Agente,Plan Retiro,19668.92,33,No,4324.7,Marzo,A39,93.15,0.56,Media,54
C00174,Norte,Unknown,Plan Retiro,13373.19,63,No,2844.39,Febrero,A32,111.89,0.49,Ninguna,28
C00175,,Unknown,Plan Retiro,19187.54,56,No,2032.16,Enero,A14,77.54,0.54,Baja,39
C00176,Norte,Sucursal,Inversión Segura,21534.37,48,No,3560.72,Febrero,A26,83.97,0.49,Media,44
C00177,Norte,Agente,Inversión Segura,18240.69,60,No,2719.76,Marzo,A26,88.87,0.55,Media,4
C00178,Centro,Unknown,Plan Retiro,18779.27,41,No,4264.62,Febrero,A16,105.01,0.67,Alta,10
C00179,Centro,Unknown,Ahorro Plus,14507.81,18,No,2398.03,Mayo,A44,93.35,0.19,Alta,6
C00180,,Sucursal,Ahorro Plus,N/A,28,No,2141.99,Marzo,A34,104.75,0.7,Media,57
C00181,,Unknown,Inversión Segura,15691.49,38,No,3143.79,Febrero,A34,105.51,0.21,Alta,30
C00182,Oeste,Call Center,Ahorro Plus,13300.43,21,No,1259.58,Enero,A16,98.88,0.15,Ninguna,54
C00183,Norte,Sucursal,Inversión Segura,27336.02,24,No,2532.57,Febrero,A25,74.04,0.88,Baja,46
C00184,Norte,Unknown,Plan Retiro,10038.21,43,Desconocido,2670.16,Enero,A1,114.92,0.87,Ninguna,35
C00185,Sur,Call Center,Inversión Segura,20010.43,64,No,3220.47,Mayo,A14,111.19,0.15,Baja,49
C00186,Centro,Agente,Inversión Segura,17585.98,67,No,2003.73,Febrero,A26,90.95,0.45,Ninguna,43
C00187,Oeste,Unknown,Plan Retiro,16149.36,29,No,2120.5,Mayo,A23,69.27,0.25,Media,10
C00188,,Call Center,Ahorro Plus,22399.43,48,Desconocido,4156.91,Marzo,A8,66.59,0.49,Baja,58
C00189,,Unknown,Inversión Segura,16491.89,34,No,2986.54,Enero,A47,93.81,0.76,Ninguna,53
C00190,,Digital,Inversión Segura,11825.47,50,No,3864.64,Marzo,A7,79.47,0.86,Baja,32
C00191,Este,Call Center,Plan Retiro,16458.65,28,No,2458.21,Enero,A29,64.24,0.61,Alta,42
C00192,,Call Center,Ahorro Plus,14084.11,45,No,2945.55,Mayo,A27,66.31,0.38,Baja,42
C00193,,Unknown,Inversión Segura,17516.42,49,Sí,3214.53,Abril,A12,82.95,0.58,Ninguna,3
C00194,Norte,Digital,Plan Retiro,19065.37,18,Sí,4747.55,Febrero,A40,92.92,0.35,Baja,56
C00195,,Unknown,Inversión Segura,10704.56,64,Desconocido,2782.38,Mayo,A32,111.09,0.83,Media,26
C00196,,Unknown,Plan Retiro,20976.68,45,No,2833.73,Enero,A2,97.26,0.8,Baja,15
C00197,Oeste,Unknown,Ahorro Plus,13725.5,59,No,4098.15,Enero,A17,84.28,0.55,Ninguna,17
C00198,Este,Call Center,Ahorro Plus,17218.07,24,Desconocido,2620.19,Enero,A10,95.7,0.36,Alta,27
C00199,Centro,Digital,Ahorro Plus,18085.15,19,No,3284.63,Enero,A48,94.36,0.33,Baja,18
C00200,,Digital,Ahorro Plus,16836.94,59,No,4010.96,Febrero,A28,101.09,0.13,Alta,51
C00201,,Unknown,Inversión Segura,14454.46,41,No,2424.16,Marzo,A14,89.4,0.75,Baja,19
C00202,Norte,Unknown,Inversión Segura,12557.01,21,No,3340.46,Abril,A17,105.54,0.46,Baja,12
C00203,,Agente,Ahorro Plus,13655.03,61,Sí,4745.55,Febrero,A3,102.37,0.36,Alta,24
C00204,,Unknown,Ahorro Plus,22825.86,36,No,3921.32,Enero,A43,91.24,0.48,Alta,5
C00205,Sur,Unknown,Ahorro Plus,10670.67,43,No,3284.93,Febrero,A47,88.21,0.75,Baja,24
C00206,Este,Sucursal,Inversión Segura,11403.78,28,Sí,2775.68,Mayo,A30,103.8,0.2,Alta,27
C00207,Este,Unknown,Ahorro Plus,11184.26,57,No,2395.68,Enero,A35,79.3,0.79,Alta,48
C00208,Sur,Unknown,Ahorro Plus,15678.77,67,Sí,2011.81,Abril,A46,67.4,0.82,Desconocido,30
C00209,,Unknown,Ahorro Plus,7376.47,60,Sí,4509.62,Enero,A33,67.32,0.86,Media,15
C00210,Sur,Agente,Plan Retiro,8232.2,28,Sí,4315.47,Abril,A50,78.05,0.42,Media,47
C00211,Sur,Sucursal,Ahorro Plus,13695.23,62,Sí,2342.89,Abril,A35,99.89,0.27,Desconocido,59
C00212,Este,Agente,Plan Retiro,8561.12,20,No,3337.69,Marzo,A32,83.66,0.4,Alta,38
C00213,,Unknown,Plan Retiro,8968.64,29,No,3111.33,Marzo,A32,93.07,0.37,Media,44
C00214,Este,Sucursal,Ahorro Plus,8598.66,20,No,4184.42,Febrero,A28,82.57,0.24,Baja,34
C00215,,Call Center,Plan Retiro,10766.94,59,Sí,3382.8,Febrero,A16,82.69,0.59,Baja,27
C00216,Norte,Unknown,Ahorro Plus,18656.23,44,Sí,2977.18,Abril,A15,74.62,0.48,Ninguna,20
C00217,,Sucursal,Inversión Segura,19778.54,66,Sí,2458.31,Enero,A15,88.62,0.79,Ninguna,41
C00218,,Unknown,Inversión Segura,24595.0,19,No,3340.87,Mayo,A27,87.37,0.13,Baja,32
C00219,Centro,Unknown,Inversión Segura,24411.81,66,Sí,2651.82,Mayo,A40,96.19,0.62,Alta,4
C00220,,Agente,Inversión Segura,18931.56,33,No,3220.68,Enero,A35,94.32,0.71,Alta,5
C00221,Norte,Unknown,Plan Retiro,20138.39,19,Sí,2924.03,Enero,A16,87.04,0.71,Media,53
C00222,,Sucursal,Ahorro Plus,15655.51,47,No,2627.51,Marzo,A16,67.41,0.81,Alta,58
C00223,,Unknown,Ahorro Plus,17599.32,37,Sí,2027.26,Mayo,A25,106.06,0.68,Baja,8
C00224,Centro,Sucursal,Ahorro Plus,24718.02,55,Sí,3514.2,Abril,A4,88.72,0.84,Baja,22
C00225,,Digital,Inversión Segura,16856.06,45,No,3042.57,Febrero,A3,91.19,0.37,Alta,42
C00226,,Unknown,Inversión Segura,20766.19,42,Sí,4787.42,Marzo,A31,114.01,0.5,Ninguna,7
C00227,Sur,Unknown,Ahorro Plus,10328.24,49,Sí,1967.66,Mayo,A37,103.62,0.11,Alta,22
C00228,,Unknown,Inversión Segura,11668.81,27,No,3625.3,Enero,A45,96.7,0.11,Media,46
C00229,,Call Center,Ahorro Plus,16560.35,59,No,2917.35,Mayo,A35,89.97,0.29,Baja,30
C00230,,Agente,Ahorro Plus,15749.66,57,No,5099.76,Abril,A17,89.83,0.18,Media,37
C00231,Este,Call Center,Ahorro Plus,11900.33,50,Sí,3548.97,Marzo,A23,93.6,0.31,Media,16
C00232,Norte,Unknown,Ahorro Plus,27036.89,30,Sí,3324.69,Enero,A42,96.1,0.24,Alta,15
C00233,Centro,Unknown,Ahorro Plus,15862.97,58,Sí,2919.9,Abril,A13,115.67,0.12,Media,5
C00234,Norte,Sucursal,Ahorro Plus,12786.37,59,Sí,2296.88,Febrero,A36,127.1,0.83,Baja,3
C00235,Oeste,Sucursal,Ahorro Plus,15758.09,64,No,3311.39,Marzo,A32,94.35,0.11,Ninguna,23
C00236,Oeste,Unknown,Inversión Segura,15127.13,54,No,1617.7,Abril,A14,-5.0,0.69,Media,10
C00237,,Unknown,Ahorro Plus,15939.01,33,Sí,1663.72,Abril,A45,75.72,0.22,Media,5
C00238,,Unknown,Ahorro Plus,7031.41,62,No,4012.44,Enero,A42,117.17,0.83,Baja,23
C00239,,Sucursal,Inversión Segura,21459.73,39,Sí,1237.88,Febrero,A27,100.78,0.81,Ninguna,15
C00240,Sur,Unknown,Inversión Segura,21744.15,37,No,2680.43,Abril,A35,96.39,0.62,Alta,18
C00241,Sur,Sucursal,Inversión Segura,22351.6,67,Sí,1950.87,Marzo,A44,87.5,0.64,Media,25
C00242,Sur,Sucursal,Ahorro Plus,16627.16,60,Sí,2597.53,Abril,A46,72.16,0.1,Baja,8
C00243,Este,Agente,Plan Retiro,18312.41,44,No,3184.55,Mayo,A28,115.17,0.89,Baja,31
